Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
33,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,33,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
34,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,34,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
35,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,35,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
36,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,36,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
37,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,37,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
38,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,38,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
39,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,39,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
40,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,40,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
41,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,41,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
42,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,42,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
43,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,43,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
44,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,44,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
45,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,45,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
